OrganizationID,Organization(s) / Community(ies),Organization Type,Community Contact / Site Supervisor, Org. County,Org. City,Geographical Location Served,,
1,West Central Minnesota Community Action (WCMCA),Non-Profit,Missy Becker-Cook,Grant,Elbow Lake,"Elbow Lake, Nothwest Minnesota",,
2,CCS Representatives Extension CST,Education,,Kandiyohi,Willmar,Willmar,,
3,Lac Qui Parle County Economic Development Authority,Government,Pam Lehmann,Lac Qui Parle,Madison,Lac Qui Parle,,
4,Kandiyohi and Renville County Public Health,Health,Jill Bruns,"Renville, Kandiyohi",Willmar,"Kandiyohi, Renville County",,
5,Humphrey School of Public Affairs,Education,Kevin Gerdes,Hennepin,Minneapolis,Nationwide,,
6,Spare Key,Non-Profit ,,,,Statewide,,
7,City of Morris,Government,Blaine Hill,Stevens,Morris,Pomme de Terre River Valley,,
8,Center for Small Towns,Education ,,Stevens,Morris,,,
9,Grow Grant County,Community,Val Martin,Grant ,Ashby,Grant County,,
10,Becker County,Government ,,,,Becker County,,
11,Otter Tail County,Government ,,,,Otter Tail County,,
12,Wilkin County,Government ,,,,Wilkin County,,
13,Clay County,Government ,,,,Clay County,,
14,PrimeWest Health,Non-Profit,Maureen Melgaard-Schneider,Douglas,Alexandria,West Central Minnesota,,
15,First Children's Finance,Non-profit,Heidi Hagle-Braid,Hennepin,Minneapolis,Stevens County,,
16,Center for Small Towns,Education ,,Stevens,Morris,West Central Mnnesota ,,
17,"University of Minnesota College of Food, Agriculture, and Natural Resources",Education ,Emily Hoover,Ramsey,St. Paul,Upper Midwest,,
18,Prairie Ecology Bus Center,Non-profit,Chrystal Dunker,Jackson,Lakefield,Southwest Minnesota,,
19,Hoffman EDA,Non-profit,Muriel Krusemark,Grant,Hoffman,Hoffman,,
20,Pioneer Television,Non-profit,Patrick Moore,Swift,Appleton,,,
21,City of Morris,Government,Blaine Hill,Stevens,Morris,Morris,,
22,Lake Ida Association,Non-profit,Dian Lopez,Douglas,Alexandria,Lake Ida area,,
23,Highway 68 Corridor Coalition,Community,Rebecca Day,Yellow Medicine,Canby,"Canby, Porter, Minneota, Ghent, Marshall, Taunton",,
24,Habitat for Humanity - Fergus Falls,Non-profit,Craig Molstad,Otter Tail,Fergus Falls,Otter Tail County,,
25,"University of Minnesota, Extension",Education ,Ryan Pesch,Ramsey,St. Paul,Minnesota,,
26,City of Foxhome,Government,"Jordan Vandal, Dan Oliphant",Wilkin,Foxhome,Foxhome,,
27,Stevens county,Grass Roots,Jeannie Ennen,Stevens,Morris,Stevens,,
28,West Central Initiative - Labor Force Development Council (LFDC) and Concentrated Employment Program (CEP),Rural Development,,Otter Tail,Fergus Falls,West Central Minnesota,,
29,Starbuck Chamber,Non-Profit,Charleen Drewes,Pope,Starbuck,Starbuck,,
