projectID,Project Status,Project Title,Project Start Date,Project End Date,Project Intensity,Description: ,Funding Type,Contract Status,Link to Project Folder,Project Synopsis Link,Methodology,Link to Digital Well ( Digital Copy?),Location on shelves (Paper Copy?),Non-public Report Link
1,Completed Project,WCMCA Customer Satisfaction Survey,\N,2006-09-07,,"In July of 2006, the Center for Small Towns began the fourth Customer Satisfaction and Needs assessment for West Central Minnesota Communities Action, Inc. There were a total of seventeen different survey types sent out to clients, service providers, vendors, and funding sources of the WCMCA. A total of 14 different survey types were sent to the clients, including: Affordable Housing, Customer (MHFA, Small Cities, and Frail Elderly), Energy Assistance, FAIM, FPAP, Group Work Camp, Head Start, Jump Start, MURL, RSVP, Weatherization, Transitional Housing, ESGP, and EITC.",,,,,Data Analysis and Research,http://digitalcommons.morris.umn.edu/cst/43/,Data Analysis and Research,
2,Completed Project,Community Christian Schools Family Survey,\N,2012-12-31,High,In the fall of 2012 Community Christian School representatives approached the Center for Small Towns to implement and report on the survey designed and conducted in 2007. The goal of this survey was also to gather information on core values teachers fianances and fundraising board curriculum facility and other topics.,External Sale,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6R1VpLW9Ic0lXdXM,,Data Analysis and Research,,Convening,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6RUdXclVzX3Q1b3c
3,Completed Project,Data Gathering for Horizons Public Health,2012-09-01,2013-05-01,High,This project worked with the Horizons Public Health Board to develop a comprehensive community health needs assessment. This assessment spans the five counties of Stevens Grant Douglas Traverse and Pope and uses various sources such as the US Census and the Minnesota Department of Health to gather data about the current and past issues surrounding the health of area residents.,External Sale,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6TTdmaWU1OWlnTkk,,Data Analysis and Research ,,Community Support,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6VFFCaEM5NVg3enM
4,Completed Project,Lac Qui Parle Computer Commuter Assessment,2013-01-01,2013-05-31,Medium,In the spring of 2013 the Center for Small Towns conducted an analysis of Lac qui Parle County's Technology Education Project called the LqP Computer Commuter System. The analysis reviewed the system's role in promoting computer and internet literacy in the community. The goal of this analysis was to help the EDA better understand the effectiveness of the program while also generating ideas that could be added to the current model.,Grant,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6ek1EZUR1X3piRkU,,Data Analysis and Research,http://digitalcommons.morris.umn.edu/cst/1/,Brokering,
5,Completed Project,Kandiyohi and Renville County Public Health - Health Data Compilation,2013-01-14,2013-08-16,,"This project worked with Kandiyohi and Renville County Public Health to compile a comprehensive health narrative of the region. The narrative explored issues related to various health factors in the region, including demographic and economic factors. The final product is being used to develop a list of priorities for health issues and initiatives.",External Sale,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6UU5pVldEZ3J0WW8,,Data Analysis and Research ,http://digitalcommons.morris.umn.edu/cst/70/,Direct Support,
6,Completed Project,Tools and Resources for Dilapidated Housing,2013-05-20,2013-08-31,Medium,Working with 3 Humphrey graduate students to conduct an environmental scan and develop a report that explains the numerous tools available to small communities in dealing with dilapidated housing. This report will also include shortcomings of the tools available.,No funding used,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6OGozb0czdThFNEE,,Data Analysis and Research,,Research,
7,Completed Project,Spare Key Hotspot Analysis,2013-06-01,2013-09-30,Medium,This project worked with the Data Services Center to gather and analyze economic and health data for Spare Key a non-profit organization that provides financial assistance in the form of mortgage payments to families with critically ill children. Their data gathering and analysis culminated in a report which recommended the rural counties with the greatest need for Spare Key to expand their organization.,Grant,Completed,None (I don't know if there was one before I took over the report...?),,Data Analysis and Research,https://docs.google.com/a/morris.umn.edu/file/d/0B7Z3bhMR5s9YNjQ5X092aklVUnM/edit,Internal,
8,Completed Project,City of Morris - Chloride Discharge Assessment,\N,2013-11-19,,This project involved assisting the Office of Sustainability and the City of Morris to understand the use of softeners and the amount of chloride put into the city’s waste water treatment plant. The Minnesota Pollution Control Agency recently presented new regulations for chloride levels being discharged into rivers from municipal waste water treatment plants. The students measured current chloride levels and estimated the amount of chloride that would be discharged if the community switched to high-efficiency softeners. This information is being used to inform the community on whether the city should invest in a municipal water softening system.,Carter Funds,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6R3p5NWFOXzJGTlk/0B14UrYEk1sV6NnpLb0YxTUY0WVk,,Data Analysis and Research,http://digitalcommons.morris.umn.edu/cst/66/,,
9,Completed Project,Center for Small Towns GIS Assistant ,2013-09-01,2013-12-13,Low,The student involved with this project assisted CST with developing maps and other data visualizations using GIS software. The student developed skills in Google data mapping utilizing publicly available data to produce unique data visualizations integrating Google maps and spatial data sets in R.,Bremer,Completed,,,Data Analysis and Research,,,
10,Completed Project,Grow Grant County Consumer Survey,2013-08-26,2014-03-31,High,This project worked with GrOw Grant County to design implement and analyze a survey sent to households in Grant County. Results helped stakeholders to understand their retail and service shopping habits garner their views on shopping in Grant County and collect their ideas for business opportunities. These results are being used by the County to recruit new business owners and inform current businesses how to better connect with their customers.,Bremer Grant Community Match (through West Central Initiative),Completed,https://drive.google.com/a/morris.umn.edu/?usp=sheets_web#folders/0B14UrYEk1sV6bzFydUJvbWd6dlU,,Data Analysis and Research,http://digitalcommons.morris.umn.edu/cst/69/,,
